Post Time,Post Title
2025-05-03 20:46:20,Spain’s Power Crisis Shakes Investor Confidence: Goldman Sachs Warns of “Major Energy Policy Shift”
2025-05-03 10:30:07,"New research suggests the world may have reached a “tipping point,” making solar power inevitably our primary source of energy"
2025-05-03 00:52:54,"Jennifer Granholm: For Real Energy Dominance, We Need the IRA. Saying that the U.S. is striving for energy dominance except in the clean energy sector is like opening a steakhouse and forgetting the meat. What happened to “all of the above”?"
2025-05-03 00:40:38,Venezuela Desperate For China To Buy More Oil
2025-05-02 23:04:44,"Discover how solar water desalination converts salt water into drinkable water using solar energy, an eco-friendly solution to water scarcity."
2025-05-02 22:19:12,"Study: World faces choice of climate catastrophe or a 20-30-year ""energy diet"" as renewables catch up to demand"
2025-05-02 21:11:17,Energy summits
2025-05-02 20:40:58,Argentina Confirms $7 Billion LNG Export Project with Two Floating Terminals by 2028
2025-05-02 16:03:12,"From sundown to midnight, batteries were the largest source of energy on the CA grid"
2025-05-02 13:40:33,Oil and gas policies India
2025-05-02 11:11:17,"Change your energy, change your life"
2025-05-02 10:53:14,Ohio Supreme Court decision allows solar company to build $350 million energy farm in northwestern Licking County
2025-05-02 06:53:34,Woodside Energy approves $17.5 billion Louisiana LNG project
2025-05-02 04:09:11,Reversible heat pump thermal energy storage for solar
2025-05-01 21:26:48,"Trump’s War on Clean Energy Already Destroyed or Threatened 62,000 American Jobs, With Nearly 400,000 at Risk. In just 100 days in office, Trump’s chaotic tariff and energy agenda has begun reversing two years of Biden's clean energy manufacturing boom."
2025-05-01 21:18:11,"Trump promised to slash energy prices. 100 days in, they’re up—and expected to keep rising. Experts say Trump’s energy policies—like inhibiting renewables, canceling energy assistance programs, and enacting widespread tariffs—are to blame. “self-inflicted wounds done by the new administration."""
2025-05-01 20:39:50,Equinor considers suing Trump administration over halted US windfarm
2025-05-01 19:18:15,Redeia President Defends Energy System Reliability Amid Blackout
2025-05-01 18:58:56,Trump’s Energy Secretary Baselessly Blames Spain’s Power Outage on Renewables | Scientific American
2025-05-01 16:42:04,CGD projects India
2025-05-01 13:59:36,Datasets on Energy prices needed
2025-05-01 02:48:03,"Discover how wave energy, a powerful renewable source, helps reduce dependence on traditional energy, preserve the environment, and cut emissions."
2025-05-01 00:47:09,North Carolina factories and mills cool on clean energy transition
2025-04-30 22:42:57,What's the point of renewable energy?
2025-04-30 21:11:48,"Oil industry that Trump wants to ‘drill, baby, drill’ has taken a beating since he took office. The S&P 500 energy sector has fallen more than 11% since Jan. 20, more than the broader market’s decline of nearly 8%. Executives are scathing in their criticism of Trump’s policies."
2025-04-30 19:56:17,An energy superpower? Canada's Oilpatch skeptical of Prime Minister Carney's support for the sector
2025-04-30 08:22:34,Renewable energy economics
2025-04-30 07:02:10,can trump actually kill clean energy?
2025-04-30 05:53:44,"UK: Warning RTS electricity meters in 300,000 homes could stop working"
2025-04-30 02:00:15,5 Charts to Help Make Sense of Trump’s First 100 Days
2025-04-30 00:14:59,Trump wants to kill clean energy. California legislators are about to help him
2025-04-29 22:51:15,"Green energy supporters pushed for faster permitting. Trump is doing it, but not for solar or wind, the fastest growing sources. He is using “a fake energy emergency” to strip away safeguards. “In a real emergency, you would want to be pouring electrons onto the grid from any source you could find.”"
2025-04-29 18:16:02,Spain and Portugal Blackout Sparks Energy Security Concerns Across Europe
2025-04-29 16:07:44,"Why did the lights go out in Spain and Portugal? -- ""And what does it mean for Europe, its power grids and its electricity?"""
2025-04-29 07:20:53,"New York lawmakers are moving to shut down Tesla sales across the state. Bill would strip Tesla of its right to sell directly to customers in retaliation for the Trump/Musk admin ""killing all funding for EV infrastructure, killing wind energy, killing anything that might address climate change."""
2025-04-29 06:58:36,"Trump’s efforts to split Europe and China on clean energy fall flat. At a 60 nation summit on energy security last week the Trump team argued that the world is better off embracing fossil fuels than pursuing a clean energy future. It was met with a shrug. “It was ideology versus reality."""
2025-04-29 02:44:00,Crude oil futures end week lower as market eyes potential for increased supply amid OPEC+ tiff
2025-04-29 01:21:49,"Discover how ultra-thin solar cells, thinner than paper, developed at MIT and Japan, are revolutionizing energy with flexibility and innovation."
2025-04-29 01:07:10,Energy Delusions: Peak Oil Forecasts - National Center for Energy Analytics
2025-04-29 00:11:19,Energy Resources and Our Future
2025-04-28 21:06:40,Net Zero: How Clean Energy Can Make a Greener Future
2025-04-28 19:25:27,Trump officials pressure world’s top energy agency to drop climate mission
2025-04-28 17:55:30,Blackout in whole Iberian peninsula right now
2025-04-28 07:42:10,LNG companies say they cannot comply with Trump rules on Chinese ships
2025-04-28 00:34:35,Energy transition: the end of an idea
2025-04-27 18:50:23,Discover how transparent solar panels convert sunlight into electricity while keeping natural light visible. Perfect for windows and glass facades.
2025-04-27 16:30:27,RENWEX
2025-04-27 16:03:22,"Engineers out there, Is masters in energy management worth it for petroleum engineers!?"
